Source	Target	Edge_Attr	Mapped_Edge_Attr
RNA Polymerase I Transcription Initiation	RNA Polymerase II Transcription Initiation And Promoter Clearance	4	1.9
Formation of the Early Elongation Complex	RNA Pol II CTD phosphorylation and interaction with CE	6	2.5
Formation of the Early Elongation Complex	mRNA Capping	6	2.5
Formation of the Early Elongation Complex	TP53 Regulates Transcription of DNA Repair Genes	7	2.8
Formation of the Early Elongation Complex	RNA Polymerase II Promoter Escape	6	2.5
Formation of the Early Elongation Complex	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	6	2.5
Formation of the Early Elongation Complex	RNA Polymerase II Transcription Initiation	6	2.5
Formation of the Early Elongation Complex	RNA Polymerase II Transcription Initiation And Promoter Clearance	6	2.5
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	The citric acid (TCA) cycle and respiratory electron transport	11	4
RNA Polymerase II Transcription Termination	mRNA 3'-end processing	8	3.1
RNA Polymerase II Transcription Termination	Transport of Mature mRNA derived from an Intron-Containing Transcript	6	2.5
RNA Pol II CTD phosphorylation and interaction with CE	mRNA Capping	6	2.5
RNA Pol II CTD phosphorylation and interaction with CE	TP53 Regulates Transcription of DNA Repair Genes	6	2.5
RNA Pol II CTD phosphorylation and interaction with CE	RNA Polymerase II Promoter Escape	6	2.5
RNA Pol II CTD phosphorylation and interaction with CE	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	6	2.5
RNA Pol II CTD phosphorylation and interaction with CE	RNA Polymerase II Transcription Initiation	6	2.5
RNA Pol II CTD phosphorylation and interaction with CE	RNA Polymerase II Transcription Initiation And Promoter Clearance	6	2.5
mRNA 3'-end processing	Transport of Mature mRNA derived from an Intron-Containing Transcript	6	2.5
mRNA Capping	TP53 Regulates Transcription of DNA Repair Genes	6	2.5
mRNA Capping	RNA Polymerase II Promoter Escape	6	2.5
mRNA Capping	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	6	2.5
mRNA Capping	RNA Polymerase II Transcription Initiation	6	2.5
mRNA Capping	RNA Polymerase II Transcription Initiation And Promoter Clearance	6	2.5
Transport of Mature mRNA derived from an Intron-Containing Transcript	SUMOylation of DNA damage response and repair proteins	3	1.6
TP53 Regulates Transcription of DNA Repair Genes	RNA Polymerase II Promoter Escape	6	2.5
TP53 Regulates Transcription of DNA Repair Genes	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	6	2.5
TP53 Regulates Transcription of DNA Repair Genes	RNA Polymerase II Transcription Initiation	6	2.5
TP53 Regulates Transcription of DNA Repair Genes	RNA Polymerase II Transcription Initiation And Promoter Clearance	6	2.5
RNA Polymerase II Promoter Escape	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	7	2.8
RNA Polymerase II Promoter Escape	RNA Polymerase II Transcription Initiation	7	2.8
RNA Polymerase II Promoter Escape	RNA Polymerase II Transcription Initiation And Promoter Clearance	7	2.8
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	RNA Polymerase II Transcription Initiation	7	2.8
RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	RNA Polymerase II Transcription Initiation And Promoter Clearance	7	2.8
RNA Polymerase II Transcription Initiation	RNA Polymerase II Transcription Initiation And Promoter Clearance	7	2.8
