Source	Target	Edge_Attr	Mapped_Edge_Attr
Integrin cell surface interactions	GPVI-mediated activation cascade	2	1.21428571428571
Integrin cell surface interactions	GP1b-IX-V activation signalling	2	1.21428571428571
Integrin cell surface interactions	Anchoring fibril formation	2	1.21428571428571
Integrin cell surface interactions	Retinoid metabolism and transport	1	1
Integrin cell surface interactions	Metabolism of fat-soluble vitamins	1	1
Integrin cell surface interactions	Crosslinking of collagen fibrils	2	1.21428571428571
Integrin cell surface interactions	Syndecan interactions	2	1.21428571428571
Integrin cell surface interactions	NCAM1 interactions	2	1.21428571428571
Integrin cell surface interactions	Signaling by PDGF	2	1.21428571428571
Integrin cell surface interactions	HS-GAG degradation	1	1
Keratan sulfate degradation	Neutrophil degranulation	1	1
Keratan sulfate degradation	Glycosaminoglycan metabolism	5	1.85714285714286
Keratan sulfate degradation	CS/DS degradation	2	1.21428571428571
Keratan sulfate degradation	Keratan sulfate/keratin metabolism	5	1.85714285714286
Keratan sulfate degradation	Glycosphingolipid metabolism	2	1.21428571428571
Keratan sulfate degradation	Chondroitin sulfate/dermatan sulfate metabolism	2	1.21428571428571
Keratan sulfate degradation	Hyaluronan uptake and degradation	2	1.21428571428571
Keratan sulfate degradation	Hyaluronan metabolism	2	1.21428571428571
Keratan sulfate degradation	Metabolism of carbohydrates	5	1.85714285714286
Keratan sulfate degradation	Sphingolipid metabolism	2	1.21428571428571
Keratan sulfate degradation	Keratan sulfate biosynthesis	3	1.42857142857143
Neutrophil degranulation	Collagen degradation	2	1.21428571428571
Neutrophil degranulation	Collagen formation	2	1.21428571428571
Neutrophil degranulation	Assembly of collagen fibrils and other multimeric structures	2	1.21428571428571
Neutrophil degranulation	Glycosaminoglycan metabolism	2	1.21428571428571
Neutrophil degranulation	CS/DS degradation	1	1
Neutrophil degranulation	Keratan sulfate/keratin metabolism	1	1
Neutrophil degranulation	Glycosphingolipid metabolism	3	1.42857142857143
Neutrophil degranulation	Chondroitin sulfate/dermatan sulfate metabolism	1	1
Neutrophil degranulation	Platelet Adhesion to exposed collagen	1	1
Neutrophil degranulation	Plasma lipoprotein clearance	1	1
Neutrophil degranulation	Trafficking and processing of endosomal TLR	2	1.21428571428571
Neutrophil degranulation	Hyaluronan uptake and degradation	2	1.21428571428571
Neutrophil degranulation	Plasma lipoprotein assembly, remodeling, and clearance	1	1
Neutrophil degranulation	Hyaluronan metabolism	2	1.21428571428571
Neutrophil degranulation	Metabolism of carbohydrates	2	1.21428571428571
Neutrophil degranulation	Sphingolipid metabolism	3	1.42857142857143
Neutrophil degranulation	Heparan sulfate/heparin (HS-GAG) metabolism	1	1
Neutrophil degranulation	Platelet activation, signaling and aggregation	2	1.21428571428571
Neutrophil degranulation	MHC class II antigen presentation	4	1.64285714285714
Neutrophil degranulation	Cell surface interactions at the vascular wall	1	1
Neutrophil degranulation	GPVI-mediated activation cascade	1	1
Neutrophil degranulation	Triglyceride catabolism	1	1
Neutrophil degranulation	Metabolism of Angiotensinogen to Angiotensins	2	1.21428571428571
Neutrophil degranulation	LDL clearance	1	1
Neutrophil degranulation	HS-GAG degradation	1	1
Collagen degradation	Collagen formation	6	2.07142857142857
Collagen degradation	Assembly of collagen fibrils and other multimeric structures	6	2.07142857142857
Collagen degradation	MET activates PTK2 signaling	2	1.21428571428571
Collagen degradation	Collagen biosynthesis and modifying enzymes	5	1.85714285714286
Collagen degradation	MET promotes cell motility	2	1.21428571428571
Collagen degradation	Collagen chain trimerization	5	1.85714285714286
Collagen degradation	Non-integrin membrane-ECM interactions	2	1.21428571428571
Collagen degradation	Platelet Adhesion to exposed collagen	2	1.21428571428571
Collagen degradation	Trafficking and processing of endosomal TLR	1	1
Collagen degradation	Platelet Aggregation (Plug Formation)	2	1.21428571428571
Collagen degradation	Signaling by MET	2	1.21428571428571
Collagen degradation	Platelet activation, signaling and aggregation	2	1.21428571428571
Collagen degradation	MHC class II antigen presentation	2	1.21428571428571
Collagen degradation	Cell surface interactions at the vascular wall	2	1.21428571428571
Collagen degradation	GPVI-mediated activation cascade	2	1.21428571428571
Collagen degradation	GP1b-IX-V activation signalling	2	1.21428571428571
Collagen degradation	Anchoring fibril formation	2	1.21428571428571
Collagen degradation	Metabolism of Angiotensinogen to Angiotensins	1	1
Collagen degradation	Crosslinking of collagen fibrils	2	1.21428571428571
Collagen degradation	NCAM1 interactions	2	1.21428571428571
Collagen degradation	Signaling by PDGF	2	1.21428571428571
Collagen formation	Assembly of collagen fibrils and other multimeric structures	7	2.28571428571429
Collagen formation	MET activates PTK2 signaling	2	1.21428571428571
Collagen formation	Collagen biosynthesis and modifying enzymes	6	2.07142857142857
Collagen formation	MET promotes cell motility	2	1.21428571428571
Collagen formation	Collagen chain trimerization	5	1.85714285714286
Collagen formation	Non-integrin membrane-ECM interactions	2	1.21428571428571
Collagen formation	Platelet Adhesion to exposed collagen	2	1.21428571428571
Collagen formation	Trafficking and processing of endosomal TLR	2	1.21428571428571
Collagen formation	Platelet Aggregation (Plug Formation)	2	1.21428571428571
Collagen formation	Signaling by MET	2	1.21428571428571
Collagen formation	Platelet activation, signaling and aggregation	2	1.21428571428571
Collagen formation	MHC class II antigen presentation	2	1.21428571428571
Collagen formation	Cell surface interactions at the vascular wall	2	1.21428571428571
Collagen formation	GPVI-mediated activation cascade	2	1.21428571428571
Collagen formation	GP1b-IX-V activation signalling	2	1.21428571428571
Collagen formation	Anchoring fibril formation	2	1.21428571428571
Collagen formation	Crosslinking of collagen fibrils	2	1.21428571428571
Collagen formation	NCAM1 interactions	2	1.21428571428571
Collagen formation	Signaling by PDGF	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	MET activates PTK2 signaling	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Collagen biosynthesis and modifying enzymes	5	1.85714285714286
Assembly of collagen fibrils and other multimeric structures	MET promotes cell motility	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Collagen chain trimerization	5	1.85714285714286
Assembly of collagen fibrils and other multimeric structures	Non-integrin membrane-ECM interactions	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Platelet Adhesion to exposed collagen	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Trafficking and processing of endosomal TLR	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Platelet Aggregation (Plug Formation)	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Signaling by MET	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Platelet activation, signaling and aggregation	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	MHC class II antigen presentation	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Cell surface interactions at the vascular wall	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	GPVI-mediated activation cascade	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	GP1b-IX-V activation signalling	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Anchoring fibril formation	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Crosslinking of collagen fibrils	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	NCAM1 interactions	2	1.21428571428571
Assembly of collagen fibrils and other multimeric structures	Signaling by PDGF	2	1.21428571428571
Glycosaminoglycan metabolism	Laminin interactions	1	1
Glycosaminoglycan metabolism	CS/DS degradation	4	1.64285714285714
Glycosaminoglycan metabolism	Keratan sulfate/keratin metabolism	5	1.85714285714286
Glycosaminoglycan metabolism	Non-integrin membrane-ECM interactions	1	1
Glycosaminoglycan metabolism	Glycosphingolipid metabolism	2	1.21428571428571
Glycosaminoglycan metabolism	Chondroitin sulfate/dermatan sulfate metabolism	5	1.85714285714286
Glycosaminoglycan metabolism	Hyaluronan uptake and degradation	3	1.42857142857143
Glycosaminoglycan metabolism	Hyaluronan metabolism	3	1.42857142857143
Glycosaminoglycan metabolism	Metabolism of carbohydrates	9	2.71428571428571
Glycosaminoglycan metabolism	Sphingolipid metabolism	2	1.21428571428571
Glycosaminoglycan metabolism	Heparan sulfate/heparin (HS-GAG) metabolism	4	1.64285714285714
Glycosaminoglycan metabolism	A tetrasaccharide linker sequence is required for GAG synthesis	3	1.42857142857143
Glycosaminoglycan metabolism	Keratan sulfate biosynthesis	3	1.42857142857143
Glycosaminoglycan metabolism	Dermatan sulfate biosynthesis	2	1.21428571428571
Glycosaminoglycan metabolism	Retinoid metabolism and transport	1	1
Glycosaminoglycan metabolism	Metabolism of fat-soluble vitamins	1	1
Glycosaminoglycan metabolism	Chondroitin sulfate biosynthesis	2	1.21428571428571
Glycosaminoglycan metabolism	HS-GAG degradation	2	1.21428571428571
Laminin interactions	MET activates PTK2 signaling	2	1.21428571428571
Laminin interactions	MET promotes cell motility	2	1.21428571428571
Laminin interactions	Non-integrin membrane-ECM interactions	1	1
Laminin interactions	Post-translational protein phosphorylation	1	1
Laminin interactions	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1	1
Laminin interactions	Chondroitin sulfate/dermatan sulfate metabolism	1	1
Laminin interactions	Signaling by MET	2	1.21428571428571
Laminin interactions	Metabolism of carbohydrates	1	1
Laminin interactions	Heparan sulfate/heparin (HS-GAG) metabolism	1	1
Laminin interactions	A tetrasaccharide linker sequence is required for GAG synthesis	1	1
Laminin interactions	Retinoid metabolism and transport	1	1
Laminin interactions	Metabolism of fat-soluble vitamins	1	1
Laminin interactions	HS-GAG degradation	1	1
MET activates PTK2 signaling	Collagen biosynthesis and modifying enzymes	2	1.21428571428571
MET activates PTK2 signaling	MET promotes cell motility	5	1.85714285714286
MET activates PTK2 signaling	Collagen chain trimerization	2	1.21428571428571
MET activates PTK2 signaling	Non-integrin membrane-ECM interactions	3	1.42857142857143
MET activates PTK2 signaling	Post-translational protein phosphorylation	2	1.21428571428571
MET activates PTK2 signaling	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	2	1.21428571428571
MET activates PTK2 signaling	Platelet Adhesion to exposed collagen	2	1.21428571428571
MET activates PTK2 signaling	Platelet Aggregation (Plug Formation)	3	1.42857142857143
MET activates PTK2 signaling	Signaling by MET	5	1.85714285714286
MET activates PTK2 signaling	Platelet activation, signaling and aggregation	3	1.42857142857143
MET activates PTK2 signaling	Cell surface interactions at the vascular wall	3	1.42857142857143
MET activates PTK2 signaling	GPVI-mediated activation cascade	2	1.21428571428571
MET activates PTK2 signaling	GP1b-IX-V activation signalling	2	1.21428571428571
MET activates PTK2 signaling	Anchoring fibril formation	2	1.21428571428571
MET activates PTK2 signaling	Crosslinking of collagen fibrils	2	1.21428571428571
MET activates PTK2 signaling	Syndecan interactions	1	1
CS/DS degradation	Keratan sulfate/keratin metabolism	2	1.21428571428571
CS/DS degradation	Glycosphingolipid metabolism	2	1.21428571428571
CS/DS degradation	Chondroitin sulfate/dermatan sulfate metabolism	4	1.64285714285714
CS/DS degradation	Hyaluronan uptake and degradation	2	1.21428571428571
CS/DS degradation	Hyaluronan metabolism	2	1.21428571428571
CS/DS degradation	Metabolism of carbohydrates	4	1.64285714285714
CS/DS degradation	Sphingolipid metabolism	2	1.21428571428571
CS/DS degradation	Heparan sulfate/heparin (HS-GAG) metabolism	2	1.21428571428571
CS/DS degradation	A tetrasaccharide linker sequence is required for GAG synthesis	2	1.21428571428571
CS/DS degradation	Dermatan sulfate biosynthesis	2	1.21428571428571
CS/DS degradation	Chondroitin sulfate biosynthesis	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	MET promotes cell motility	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Collagen chain trimerization	5	1.85714285714286
Collagen biosynthesis and modifying enzymes	Non-integrin membrane-ECM interactions	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Platelet Adhesion to exposed collagen	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Platelet Aggregation (Plug Formation)	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Signaling by MET	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Platelet activation, signaling and aggregation	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Cell surface interactions at the vascular wall	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	GPVI-mediated activation cascade	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	GP1b-IX-V activation signalling	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Anchoring fibril formation	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Crosslinking of collagen fibrils	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	NCAM1 interactions	2	1.21428571428571
Collagen biosynthesis and modifying enzymes	Signaling by PDGF	2	1.21428571428571
Keratan sulfate/keratin metabolism	Glycosphingolipid metabolism	2	1.21428571428571
Keratan sulfate/keratin metabolism	Chondroitin sulfate/dermatan sulfate metabolism	2	1.21428571428571
Keratan sulfate/keratin metabolism	Hyaluronan uptake and degradation	2	1.21428571428571
Keratan sulfate/keratin metabolism	Hyaluronan metabolism	2	1.21428571428571
Keratan sulfate/keratin metabolism	Metabolism of carbohydrates	5	1.85714285714286
Keratan sulfate/keratin metabolism	Sphingolipid metabolism	2	1.21428571428571
Keratan sulfate/keratin metabolism	Keratan sulfate biosynthesis	3	1.42857142857143
MET promotes cell motility	Collagen chain trimerization	2	1.21428571428571
MET promotes cell motility	Non-integrin membrane-ECM interactions	3	1.42857142857143
MET promotes cell motility	Post-translational protein phosphorylation	2	1.21428571428571
MET promotes cell motility	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	2	1.21428571428571
MET promotes cell motility	Platelet Adhesion to exposed collagen	2	1.21428571428571
MET promotes cell motility	Platelet Aggregation (Plug Formation)	3	1.42857142857143
MET promotes cell motility	Signaling by MET	5	1.85714285714286
MET promotes cell motility	Platelet activation, signaling and aggregation	3	1.42857142857143
MET promotes cell motility	Cell surface interactions at the vascular wall	3	1.42857142857143
MET promotes cell motility	GPVI-mediated activation cascade	2	1.21428571428571
MET promotes cell motility	GP1b-IX-V activation signalling	2	1.21428571428571
MET promotes cell motility	Anchoring fibril formation	2	1.21428571428571
MET promotes cell motility	Crosslinking of collagen fibrils	2	1.21428571428571
MET promotes cell motility	Syndecan interactions	1	1
Collagen chain trimerization	Non-integrin membrane-ECM interactions	2	1.21428571428571
Collagen chain trimerization	Platelet Adhesion to exposed collagen	2	1.21428571428571
Collagen chain trimerization	Platelet Aggregation (Plug Formation)	2	1.21428571428571
Collagen chain trimerization	Signaling by MET	2	1.21428571428571
Collagen chain trimerization	Platelet activation, signaling and aggregation	2	1.21428571428571
Collagen chain trimerization	Cell surface interactions at the vascular wall	2	1.21428571428571
Collagen chain trimerization	GPVI-mediated activation cascade	2	1.21428571428571
Collagen chain trimerization	GP1b-IX-V activation signalling	2	1.21428571428571
Collagen chain trimerization	Anchoring fibril formation	2	1.21428571428571
Collagen chain trimerization	Crosslinking of collagen fibrils	2	1.21428571428571
Collagen chain trimerization	NCAM1 interactions	2	1.21428571428571
Collagen chain trimerization	Signaling by PDGF	2	1.21428571428571
Non-integrin membrane-ECM interactions	Post-translational protein phosphorylation	1	1
Non-integrin membrane-ECM interactions	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	1	1
Non-integrin membrane-ECM interactions	Chondroitin sulfate/dermatan sulfate metabolism	1	1
Non-integrin membrane-ECM interactions	Platelet Adhesion to exposed collagen	2	1.21428571428571
Non-integrin membrane-ECM interactions	Platelet Aggregation (Plug Formation)	3	1.42857142857143
Non-integrin membrane-ECM interactions	Regulation of Complement cascade	1	1
Non-integrin membrane-ECM interactions	Signaling by MET	3	1.42857142857143
Non-integrin membrane-ECM interactions	Metabolism of carbohydrates	1	1
Non-integrin membrane-ECM interactions	Complement cascade	1	1
Non-integrin membrane-ECM interactions	Heparan sulfate/heparin (HS-GAG) metabolism	1	1
Non-integrin membrane-ECM interactions	A tetrasaccharide linker sequence is required for GAG synthesis	1	1
Non-integrin membrane-ECM interactions	Platelet activation, signaling and aggregation	3	1.42857142857143
Non-integrin membrane-ECM interactions	Cell surface interactions at the vascular wall	3	1.42857142857143
Non-integrin membrane-ECM interactions	GPVI-mediated activation cascade	2	1.21428571428571
Non-integrin membrane-ECM interactions	GP1b-IX-V activation signalling	2	1.21428571428571
Non-integrin membrane-ECM interactions	Anchoring fibril formation	2	1.21428571428571
Non-integrin membrane-ECM interactions	Retinoid metabolism and transport	1	1
Non-integrin membrane-ECM interactions	Metabolism of fat-soluble vitamins	1	1
Non-integrin membrane-ECM interactions	Crosslinking of collagen fibrils	2	1.21428571428571
Non-integrin membrane-ECM interactions	Syndecan interactions	2	1.21428571428571
Non-integrin membrane-ECM interactions	HS-GAG degradation	1	1
Glycosphingolipid metabolism	Chondroitin sulfate/dermatan sulfate metabolism	2	1.21428571428571
Glycosphingolipid metabolism	Hyaluronan uptake and degradation	2	1.21428571428571
Glycosphingolipid metabolism	Hyaluronan metabolism	2	1.21428571428571
