"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.WT_Rep1"	"Intensity.WT_Rep2"	"Intensity.WT_Rep3"	"Mean_wt"	"Median_wt"	"logFC"	"Pvalue_limma"
1074.5306	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	108780000	15515000	6801200	43698733.3333333	15515000	-3.88171095118899	0.000659243059301509
920.47158	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	63811000	27769000	0	30526666.6666667	27769000	-3.35596889457613	0.005279143138708
894.37193	"P16460"	"Argininosuccinate synthase"	"Ass1"	50762000	20370000	6795400	25975800	20370000	-2.68860440861966	0.0140308543963193
1853.8618	"A7RDN6"	"Renalase"	"Rnls"	23968000	13938000	6241700	14715900	13938000	-2.29586828788398	0.0408461439817793
1212.5775	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	229940000	119100000	50534000	133191333.333333	119100000	-5.32111011936052	1.40578785447953e-05
2279.111	"Q62252"	"Sperm surface protein Sp17"	"Spa17"	31659000	26286000	7866300	21937100	26286000	-2.28062524547969	0.0350560320521962
2987.491	"Q8WTY4"	"Anamorsin"	"Ciapin1"	78267000	16852000	9625100	34914700	16852000	-2.3975374927091	0.0306734637926041
1028.5026	"P52194"	"Calmegin"	"Clgn"	50062000	34637000	10769000	31822666.6666667	34637000	-3.26812490395346	0.00798158207110172
1381.6799	"O88987"	"A-kinase anchor protein 3"	"Akap3"	90566000	15969000	6724500	37753166.6666667	15969000	-2.82276427752208	0.0139906929897205
1007.4825	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	1452500	29649000	15191000	15430833.3333333	15191000	-2.46120313765734	0.0282733208877604
2373.0888	"P16460"	"Argininosuccinate synthase"	"Ass1"	154690000	67859000	29339000	83962666.6666667	67859000	-3.96075084091121	0.000706194192582529
1086.4506	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	88147000	40212000	15198000	47852333.3333333	40212000	-4.3546101566017	0.000115954347650721
777.42726	"Q91ZV0"	"Melanoma inhibitory activity protein 2;cTAGE family member 5"	"Mia2;Ctage5"	14131000	11499000	3699700	9776566.66666667	11499000	-2.4236011181628	0.032844528080101
1568.7909	"P16460"	"Argininosuccinate synthase"	"Ass1"	107440000	59317000	24816000	63857666.6666667	59317000	-3.12648679414896	0.00618848539509523
2183.0535	"O88987"	"A-kinase anchor protein 3"	"Akap3"	86248000	22639000	12570000	40485666.6666667	22639000	-3.2296630926585	0.00440383365620631
2011.9925	"Q9JHX6"	"Probable allantoicase"	"Allc"	21105000	11928000	2897400	11976800	11928000	-2.18183579652074	0.0481403881733917
2540.3064	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	552630000	317400000	144820000	338283333.333333	317400000	-3.98041276758922	0.000337457360036979
1940.888	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	57600000	26029000	11187000	31605333.3333333	26029000	-3.41106333711128	0.00275010804102409
1864.9782	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	939110000	168440000	65928000	391159333.333333	168440000	-4.50562235936924	0.000108986230359897
2847.3836	"Q9D379"	"Epoxide hydrolase 1"	"Ephx1"	80181000	13149000	6263800	33197933.3333333	13149000	-2.30278238530561	0.0430132095438298
974.48552	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	96030000	31486000	15441000	47652333.3333333	31486000	-4.62149793553917	6.24630514984874e-05
2304.1386	"P62821"	"Ras-related protein Rab-1A"	"Rab1A"	21628000	12757000	6347000	13577333.3333333	12757000	-2.35104942705953	0.0398060372887306
2362.1012	"P30416"	"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed"	"Fkbp4"	34676000	14081000	8693800	19150266.6666667	14081000	-2.50053242746102	0.0259997167380824
3535.5377	"P35487"	"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial"	"Pdha2"	70962000	48182000	27014000	48719333.3333333	48182000	-2.98908422644642	0.0102742492983681
2976.5419	"P00342"	"L-lactate dehydrogenase C chain"	"Ldhc"	415550000	22253000	39005000	158936000	39005000	-2.83237732066768	0.0263036276521377
787.42284	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	14813000	11347000	4631600	10263866.6666667	11347000	-2.81107121064044	0.00849664110463394
1750.9505	"P62631"	"Elongation factor 1-alpha 2"	"Eef1a2"	262840000	66467000	36527000	121944666.666667	66467000	-3.06104352480417	0.0147793134536693
2168.075	"P63101"	"14-3-3 protein zeta/delta"	"Ywhaz"	80517000	13961000	38776000	44418000	38776000	-3.18831939866112	0.0063477819505169
2833.3745	"P16460"	"Argininosuccinate synthase"	"Ass1"	182150000	23348000	5853000	70450333.3333333	23348000	-3.61062123476959	0.00213528611028598
941.48181	"P17710"	"Hexokinase-1"	"Hk1"	9552900	8978900	2757400	7096400	8978900	-2.13132721452346	0.0489470552183693
1195.5656	"P16460"	"Argininosuccinate synthase"	"Ass1"	41693000	4131300	4703900	16842733.3333333	4703900	-3.08119302343244	0.00638266429307164
1646.7801	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	119970000	61903000	4053600	61975533.3333333	61903000	-4.41120448963636	0.000264780509379322
1456.7423	"Q9DA79"	"Dipeptidase 3"	"Dpep3"	24914000	6646600	11290000	14283533.3333333	11290000	-2.35709455086546	0.0353655804474942
2847.2426	"Q8VIG3"	"Radial spoke head 1 homolog"	"Rsph1"	188640000	51888000	45304000	95277333.3333333	51888000	-3.06424892949183	0.0156403966198752
2254.9516	"P07901"	"Heat shock protein HSP 90-beta;Heat shock protein HSP 90-alpha"	"Hsp90ab1;Hsp90aa1"	2.36e+08	104490000	49265000	129918333.333333	104490000	-2.83326926258705	0.0385544143060054
2068.949	"Q9CQM9"	"Glutaredoxin-3"	"Glrx3"	41768000	43721000	14815000	33434666.6666667	41768000	-2.21653154995236	0.0476164686157864
1100.535	"P46471"	"26S protease regulatory subunit 7"	"Psmc2"	14540000	9263700	0	7934566.66666667	9263700	-2.26454767124064	0.0493733583421075
1658.841	"P10649"	"Glutathione S-transferase Mu 1"	"Gstm1"	126230000	26916000	62437000	71861000	62437000	-2.47644341169057	0.0406842368318722
2003.0939	"Q9JJN4"	"Succinyl-CoA:3-ketoacid coenzyme A transferase 2B, mitochondrial;Succinyl-CoA:3-ketoacid coenzyme A transferase 2A, mitochondrial"	"Oxct2b;Oxct2a"	108090000	32093000	11610000	50597666.6666667	32093000	-3.69168016632257	0.00410468567591197
2147.9721	"P30416"	"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed"	"Fkbp4"	9968900	10024000	4438100	8143666.66666667	9968900	-2.2093484677827	0.0479755380385434
2604.2667	"A3KGV1"	"Outer dense fiber protein 2"	"Odf2"	115180000	35375000	15671000	55408666.6666667	35375000	-2.80977879516325	0.0301901352674006
1284.6925	"P52194"	"Calmegin"	"Clgn"	109310000	30139000	18253000	52567333.3333333	30139000	-2.7716766475251	0.0133144126264347
1946.9949	"Q61584"	"Fragile X mental retardation syndrome-related protein 1"	"Fxr1"	40316000	6200800	4894000	17136933.3333333	6200800	-2.6645844234343	0.0186313761022394
1584.7672	"Q8CIB6"	"Transmembrane protein 230"	"Tmem230"	6829100	4379100	1908900	4372366.66666667	4379100	-2.35623511991053	0.0315295620478718
869.53345	"P80314"	"T-complex protein 1 subunit beta"	"Cct2"	60740000	47447000	19740000	42642333.3333333	47447000	-2.65486780099809	0.0287355576678153
2380.1845	"Q7TPM5"	"Uncharacterized protein C9orf9 homolog"	""	36087000	71570000	33809000	47155333.3333333	36087000	-2.17348238701633	0.0384419750383605
2799.4014	"P48774"	"Glutathione S-transferase Mu 5"	"Gstm5"	48486000	4567600	17490000	23514533.3333333	17490000	-3.03230170112604	0.00828201262708272
786.45995	"P34022"	"Ran-specific GTPase-activating protein"	"Ranbp1"	43768000	27176000	12926000	27956666.6666667	27176000	-2.41369085439855	0.0359222502134191
1370.7405	"Q03958"	"Prefoldin subunit 6"	"Pfdn6"	6633000	5693600	2755900	5027500	5693600	-2.23585800599807	0.0350153775249138
1281.6929	"P29533"	"Vascular cell adhesion protein 1"	"Vcam1"	24277000	14898000	7188900	15454633.3333333	14898000	-2.2740943343199	0.032487940083777
918.51747	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	33388000	21776000	8759500	21307833.3333333	21776000	-2.33114287360196	0.0271605693449112
1566.8228	"Q9ESG2"	"Ropporin-1"	"Ropn1"	64845000	44058000	12778000	40560333.3333333	44058000	-3.13426198047116	0.00801774618024147
1089.5859	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	18106000	8082200	3646300	9944833.33333333	8082200	-3.11532637426363	0.00422808598584662
2066.1524	"P00342"	"L-lactate dehydrogenase C chain"	"Ldhc"	249720000	51826000	41128000	114224666.666667	51826000	-3.20211559383057	0.0132075919059794
2493.1983	"P63024"	"Vesicle-associated membrane protein 3;Vesicle-associated membrane protein 2"	"Vamp3;Vamp2"	62572000	32908000	27917000	41132333.3333333	32908000	-2.63540237926425	0.014835557896369
1566.8076	"Q8BVN8"	"Axonemal dynein light intermediate polypeptide 1"	"Dnali1"	15653000	7906700	3371600	8977100	7906700	-2.13120700423324	0.0458650246192975
1222.5387	"Q99MD9"	"Nuclear autoantigenic sperm protein"	"Nasp"	43772000	37361000	9638800	30257266.6666667	37361000	-2.65003021804363	0.0228692989642373
2487.108	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	225690000	40121000	22505000	96105333.3333333	40121000	-6.19871649092254	3.99572631582703e-07
1853.8414	"Q80YT5"	"Spermatogenesis-associated protein 20"	"Spata20"	13301000	2431200	1772300	5834833.33333333	2431200	-2.31252974712529	0.0311151426924741
1058.4417	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	98991000	49271000	16081000	54781000	49271000	-3.76063413469453	0.000676821810607901
860.46035	"P11404"	"Fatty acid-binding protein, heart"	"Fabp3"	98895000	79823000	37210000	71976000	79823000	-2.72119935438967	0.0255488120519225
1921.9455	"P09041"	"Phosphoglycerate kinase 2"	"Pgk2"	34797000	30204000	12330000	25777000	30204000	-2.26180301776473	0.0497462319698177
1623.8257	"Q9JMB7"	"Piwi-like protein 1"	"Piwil1"	37916000	19686000	9964500	22522166.6666667	19686000	-2.45134118991067	0.0289926474077944
1860.941	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	153980000	32437000	15944000	67453666.6666667	32437000	-4.88540047058006	3.75567887922399e-05
1125.5852	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	130730000	61696000	28297000	73574333.3333333	61696000	-3.98369783341802	0.000340081530655649
946.4661	"P15626"	"Glutathione S-transferase Mu 2"	"Gstm2"	117730000	39185000	21143000	59352666.6666667	39185000	-3.48993549298728	0.00276337178268561
802.41848	"Q62318"	"Transcription intermediary factor 1-beta"	"Trim28"	35443000	21125000	5859700	20809233.3333333	21125000	-2.56134209763987	0.0322252839222075
1574.7763	"O70325"	"Phospholipid hydroperoxide glutathione peroxidase, mitochondrial"	"Gpx4"	52685000	6814800	9248700	22916166.6666667	9248700	-2.2015151621016	0.0434416509913249
1737.8434	"A2A9I7"	"Doublesex- and mab-3-related transcription factor B1"	"Dmrtb1"	23254000	13019000	8950700	15074566.6666667	13019000	-2.45475360306151	0.0251632983476921
1489.7148	"Q60662"	"A-kinase anchor protein 4"	"Akap4"	48546000	26111000	9133700	27930233.3333333	26111000	-2.56121674743818	0.0341751769381235
971.46001	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	34776000	16297000	9137300	20070100	16297000	-2.69562700606684	0.0113558877383862
969.49198	"Q9DA79"	"Dipeptidase 3"	"Dpep3"	93121000	67891000	23868000	61626666.6666667	67891000	-2.68381006862013	0.0277651614350349
4055.0276	"Q60692"	"Proteasome subunit beta type-6"	"Psmb6"	121900000	21935000	8674200	50836400	21935000	-2.82001700051198	0.0241364828874134
1775.8804	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	48369000	8956800	3107900	20144566.6666667	8956800	-3.3789632191342	0.0025750396422443
1636.8494	"O08716"	"Fatty acid-binding protein 9"	"Fabp9"	97072000	61423000	25716000	61403666.6666667	61423000	-2.67369160083935	0.0299353508737064
1752.0338	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	243930000	31151000	14314000	96465000	31151000	-4.08913388882447	0.000504566289108342
1994.983	"O88987"	"A-kinase anchor protein 3"	"Akap3"	20574000	11186000	6435000	12731666.6666667	11186000	-2.98123068281856	0.00664661190278647
844.35714	"P15265"	"Sperm mitochondrial-associated cysteine-rich protein"	"Smcp"	14211000	26939000	3790600	14980200	14211000	-2.77215150765818	0.0119778246060968
2660.2251	"P16460"	"Argininosuccinate synthase"	"Ass1"	484610000	87949000	55895000	209484666.666667	87949000	-5.23326373993321	2.26612897465467e-05
1216.6452	"P61079"	"Ubiquitin-conjugating enzyme E2 D2B;Ubiquitin-conjugating enzyme E2 D3"	"Ube2d2b;Ube2d3"	55504000	27152000	13046000	31900666.6666667	27152000	-2.90043341489512	0.014366601517024
947.49238	"Q99MD6"	"Thioredoxin reductase 3"	"Txnrd3"	16620000	14458000	4403200	11827066.6666667	14458000	-2.22873850673747	0.0497726922612417
3264.4906	"Q62252"	"Sperm surface protein Sp17"	"Spa17"	77006000	10619000	21618000	36414333.3333333	21618000	-3.01486613330759	0.00702933988029724
1539.7205	"G5E8A8"	""	"Tekt5"	14463000	5716400	2252700	7477366.66666667	5716400	-2.21563097756046	0.0407776910527236
2698.3272	"P11983"	"T-complex protein 1 subunit alpha"	"Tcp1"	66280000	14887000	6124600	29097200	14887000	-2.84966895899499	0.0123873840408607
808.39668	"P70385"	"Testosterone 17-beta-dehydrogenase 3"	"Hsd17b3"	10866000	4875300	2351600	6030966.66666667	4875300	-2.90515436036073	0.0067923330327715
1384.7926	"P60122"	"RuvB-like 1"	"Ruvbl1"	12825000	8002800	4433200	8420333.33333333	8002800	-2.23538562161091	0.0385987218693438
829.42938	"Q9Z1L2"	"Synaptogyrin-4"	"Syngr4"	15287000	2522600	814380	6207993.33333333	2522600	-3.02102362931547	0.00880966132959046
3007.5251	"Q9CZS1"	"Aldehyde dehydrogenase X, mitochondrial"	"Aldh1b1"	20264000	14652000	6011700	13642566.6666667	14652000	-3.16540872373985	0.00537717463387626
1455.663	"P00015"	"Cytochrome c, testis-specific"	"Cyct"	26657000	10331000	7386900	14791633.3333333	10331000	-2.13490407717425	0.0456761614621115
1296.7224	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	104250000	55412000	19226000	59629333.3333333	55412000	-4.63898922140441	4.84549372417365e-05
995.49977	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	213490000	90894000	34828000	113070666.666667	90894000	-4.73752779796834	4.88860457578893e-05
2188.1198	"O88685"	"26S protease regulatory subunit 6A"	"Psmc3"	50960000	20158000	7647700	26255233.3333333	20158000	-2.29113814315256	0.0486720466818597
4309.0896	"Q91ZT8"	"Ankyrin repeat and SOCS box protein 9"	"Asb9"	27390000	10638000	6624600	14884200	10638000	-2.33777881368983	0.03757359734765
835.38243	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	104390000	38325000	20197000	54304000	38325000	-4.78284301781044	3.67518053624775e-05
3583.6579	"P36993"	"Protein phosphatase 1B"	"Ppm1b"	18848000	10755000	4798300	11467100	10755000	-2.23184149048349	0.040010125684049
935.4964	"P16460"	"Argininosuccinate synthase"	"Ass1"	113670000	77772000	29030000	73490666.6666667	77772000	-3.77136062564471	0.00211595165323104
920.47158	"P35585"	"AP-1 complex subunit mu-1"	"Ap1m1"	8429300	27351000	14928000	16902766.6666667	14928000	-2.40136784671537	0.0281828628839391
1588.8461	"Q80YT5"	"Spermatogenesis-associated protein 20"	"Spata20"	51673000	31746000	13228000	32215666.6666667	31746000	-2.36336024761592	0.0404499392346464
754.39735	"Q7TPM5"	"Uncharacterized protein C9orf9 homolog"	""	30847000	26694000	10925000	22822000	26694000	-3.01319283529008	0.00685713035812761
1117.5186	"O35490"	"Betaine--homocysteine S-methyltransferase 1"	"Bhmt"	141520000	52931000	24603000	73018000	52931000	-4.71617622824372	4.46377807029967e-05
764.40685	"P17156"	"Heat shock-related 70 kDa protein 2;Heat shock cognate 71 kDa protein"	"Hspa2;Hspa8"	278730000	233440000	120890000	211020000	233440000	-2.59763444216795	0.0443165216020808
805.46979	"P16460"	"Argininosuccinate synthase"	"Ass1"	55312000	27238000	11164000	31238000	27238000	-2.891895094832	0.00816523170355247
1576.8535	"P61407"	"Tudor domain-containing protein 6"	"Tdrd6"	49964000	7992800	2883000	20279933.3333333	7992800	-2.43864470254398	0.0302641116533864
1076.627	"P27786"	"Steroid 17-alpha-hydroxylase/17,20 lyase"	"Cyp17a1"	272040000	190680000	81856000	181525333.333333	190680000	-4.949872487119	4.08989999981385e-05
2212.9848	"Q61024"	"Asparagine synthetase [glutamine-hydrolyzing]"	"Asns"	9954000	13615000	6466500	10011833.3333333	9954000	-2.2862445331428	0.0432383462073608
2514.2516	"Q8VIG3"	"Radial spoke head 1 homolog"	"Rsph1"	267610000	91548000	61027000	140061666.666667	91548000	-3.10199697873133	0.0169331354026688
2670.304	"P49891"	"Estrogen sulfotransferase, testis isoform"	"Sult1e1"	91059000	27487000	11083000	43209666.6666667	27487000	-3.16076435269325	0.0040630771544952
