"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.AROM_Rep1"	"Intensity.AROM_Rep2"	"Intensity.AROM_Rep3"	"Mean_arom"	"Median_arom"	"logFC"	"Pvalue_limma"
1621.8538	"Q9WVQ5"	"Methylthioribulose-1-phosphate dehydratase"	"Apip"	4442500	5985600	6032800	5486966.66666667	5985600	2.59560404646541	0.0194033615722897
990.49569	"P02088"	"Hemoglobin subunit beta-1"	"Hbb-b1"	285720000	727390000	722370000	578493333.333333	722370000	2.91881591916254	0.00624378629555393
1472.7987	"Q9QYC0"	"Alpha-adducin"	"Add1"	0	3730200	5921000	3217066.66666667	3730200	1.63961046648027	0.120401090413133
1164.5411	"P48678"	"Prelamin-A/C;Lamin-A/C"	"Lmna"	14980000	16684000	26650000	19438000	16684000	3.10448256692852	0.00450546237334265
1218.5921	"P51881"	"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed"	"Slc25a5"	47580000	32319000	42603000	40834000	42603000	1.79480937147861	0.0841700988431743
2203.999	"Q6PDQ2"	"Chromodomain-helicase-DNA-binding protein 4"	"Chd4"	5930100	2588400	4599900	4372800	4599900	1.72644407083977	0.108379196015232
805.44464	"Q9CQI6"	"Coactosin-like protein"	"Cotl1"	34301000	19226000	44968000	32831666.6666667	34301000	2.99156261764445	0.00534998310467011
2014.9742	"P62874"	"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1"	"Gnb1"	27795000	30805000	49064000	35888000	30805000	1.66517160156074	0.109905086718901
1029.459	"Q8JZX4"	"Splicing factor 45"	"Rbm17"	0	1678000	2442400	1373466.66666667	1678000	1.58155848042474	0.147804340516759
1930.9418	"P62880"	"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2"	"Gnb2"	39474000	16305000	40887000	32222000	39474000	1.73570532994358	0.103325670768572
1343.6002	"Q99KC8"	"von Willebrand factor A domain-containing protein 5A"	"Vwa5a"	7592700	6599200	3414500	5868800	6599200	2.4090448693283	0.0240673374695027
1323.6064	"Q62465"	"Synaptic vesicle membrane protein VAT-1 homolog"	"Vat1"	55694000	29776000	60721000	48730333.3333333	55694000	3.00980551741798	0.00506222916375433
1392.6278	"Q9DCL9"	"Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase"	"Paics"	8032100	8609800	15170000	10603966.6666667	8609800	1.61598003718368	0.125667180077324
1865.0233	"P14069"	"Protein S100-A6"	"S100a6"	0	111540000	183800000	98446666.6666667	111540000	1.62918693558415	0.211422362699642
1533.7709	"P19096"	"Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase"	"Fasn"	17381000	8447400	10634000	12154133.3333333	10634000	2.05538752124011	0.0573900424245396
1084.5335	"Q8VDN2"	"Sodium/potassium-transporting ATPase subunit alpha-1"	"Atp1a1"	11548000	1698600	6674500	6640366.66666667	6674500	2.05280414898454	0.0699105363723583
1391.5801	"P26039"	"Talin-1"	"Tln1"	0	2624900	5000900	2541933.33333333	2624900	2.22189654162782	0.0365945214427764
772.40792	"P48036"	"Annexin A5"	"Anxa5"	30138000	21470000	48721000	33443000	30138000	4.26663188217782	0.000136000188598554
900.50288	"P48036"	"Annexin A5"	"Anxa5"	43433000	5494800	16201000	21709600	16201000	3.91110932046526	0.00214816783707176
1244.4946	"Q78PY7"	"Staphylococcal nuclease domain-containing protein 1"	"Snd1"	6542900	4105400	7813900	6154066.66666667	6542900	1.89648239645357	0.0755073064823451
966.42944	"P51863"	"V-type proton ATPase subunit d 1"	"Atp6v0d1"	5842500	2521100	4793500	4385700	4793500	1.83528518440622	0.0808355294422734
1719.7529	"Q9QZ82"	"Cholesterol side-chain cleavage enzyme, mitochondrial"	"Cyp11a1"	221160000	80053000	136760000	145991000	136760000	3.80926325911576	0.000604245295678093
1293.6176	"Q8VDD5"	"Myosin-9;Myosin-10"	"Myh9;Myh10"	19137000	8280600	12453000	13290200	12453000	1.66304323993657	0.110934103518354
928.39603	"Q60854"	"Serpin B6"	"Serpinb6"	19195000	16053000	25694000	20314000	19195000	1.93246219464931	0.0631490323553563
1199.6948	"P13634"	"Carbonic anhydrase 1"	"Ca1"	0	3523300	3475200	2332833.33333333	3475200	2.31637404616453	0.0314817774899635
950.45699	"P11499"	"Heat shock protein HSP 90-beta"	"Hsp90ab1"	49441000	9842000	57616000	38966333.3333333	49441000	2.49136552144977	0.0370852863591021
2331.1899	"Q6P9R2"	"Serine/threonine-protein kinase OSR1"	"Oxsr1"	83654000	78662000	57362000	73226000	78662000	5.64842848302296	5.7029722484998e-05
1074.5128	"P40124"	"Adenylyl cyclase-associated protein 1"	"Cap1"	6819700	0	4253300	3691000	4253300	1.61578888582654	0.129295392302486
1320.6166	"Q8BH64"	"EH domain-containing protein 2"	"Ehd2"	0	3582100	3740700	2440933.33333333	3582100	1.60154000936941	0.135481851540903
1154.4662	"O89053"	"Coronin-1A"	"Coro1a"	0	5814500	6855300	4223266.66666667	5814500	2.27883944029626	0.0373733901998426
1303.619	"Q9EQP2"	"EH domain-containing protein 4"	"Ehd4"	9062000	7016100	9814900	8631000	9062000	3.73439481587095	0.000590182808553719
1880.8687	"Q921I1"	"Serotransferrin"	"Tf"	40682000	25150000	19397000	28409666.6666667	25150000	2.52705379530152	0.0171501880638857
878.44978	"Q9JK53"	"Prolargin"	"Prelp"	47271000	45215000	83498000	58661333.3333333	47271000	5.19669763680206	7.21457902472366e-06
1046.5244	"Q80UG5"	"Septin-9"	"Sept9"	10006000	5400900	7481000	7629300	7481000	1.99195647073272	0.0635674847420216
1565.7032	"O55131"	"Septin-7"	"Sept7"	17759000	10962000	9052900	12591300	10962000	2.29793268239293	0.0383498575670862
1001.5142	"P31001"	"Desmin"	"Des"	12718000	16353000	0	9690333.33333333	12718000	2.04205986562132	0.0866999095549261
1231.6085	"P16546"	"Spectrin alpha chain, non-erythrocytic 1;Spectrin alpha chain, erythrocytic 1"	"Sptan1;Spta1"	7792200	9095800	11501000	9463000	9095800	2.23667042517542	0.0362748327901531
895.42871	"Q7TNC4"	"Putative RNA-binding protein Luc7-like 2;Putative RNA-binding protein Luc7-like 1"	"Luc7l2;Luc7l"	10195000	6709000	11201000	9368333.33333333	10195000	1.67385985764343	0.11080995280234
1272.6748	"Q9CYH2"	"Redox-regulatory protein FAM213A"	"Fam213a"	16672000	8123300	84845000	36546766.6666667	16672000	2.12952850007339	0.0501888502725482
1156.6088	"Q9QXS1"	"Plectin"	"Plec"	5209800	3447600	6294000	4983800	5209800	1.80026482861619	0.086104060731482
1184.6149	"Q8BFR5"	"Elongation factor Tu, mitochondrial"	"Tufm"	22242000	15920000	33423000	23861666.6666667	22242000	3.35580005622484	0.00355044270546781
1624.8057	"Q6PGL7"	"WASH complex subunit FAM21"	"Fam21"	0	2160700	3023300	1728000	2160700	2.12272033711461	0.0424639058989527
1951.9011	"Q3THG9"	"Alanyl-tRNA editing protein Aarsd1"	"Aarsd1"	18737000	25800000	17431000	20656000	18737000	3.06456057333285	0.0045712541517277
774.38718	"Q9R1T2"	"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"	"Sae1"	6745900	2668600	20574000	9996166.66666667	6745900	1.55080770243907	0.152534857248189
939.47739	"P26039"	"Talin-1"	"Tln1"	10170000	4071900	28672000	14304633.3333333	10170000	3.41666612399823	0.00295364205819644
1234.5434	"Q61233"	"Plastin-2"	"Lcp1"	39292000	25488000	46874000	37218000	39292000	4.792066567188	2.55695067955504e-05
2069.0793	"Q6GQT9"	"Nodal modulator 1"	"Nomo1"	1785900	1156300	0	980733.333333333	1156300	1.55763644517024	0.132385435349817
2081.0542	"Q61147"	"Ceruloplasmin"	"Cp"	15901000	24200000	31276000	23792333.3333333	24200000	4.20453389089078	0.000219400119150301
1442.6525	"P26645"	"Myristoylated alanine-rich C-kinase substrate"	"Marcks"	10667000	8535000	8265100	9155700	8535000	1.67015609627386	0.109125015349173
1907.8749	"P07356"	"Annexin A2"	"Anxa2"	7976100	47523000	43170000	32889700	43170000	1.69280733589672	0.111029694623956
1577.6589	"Q62418"	"Drebrin-like protein"	"Dbnl"	10099000	4680800	3632500	6137433.33333333	4680800	2.02869200150261	0.0534024309472529
1107.5084	"P50518"	"V-type proton ATPase subunit E 1"	"Atp6v1e1"	30959000	11416000	16925000	19766666.6666667	16925000	3.7270582432815	0.00109152310042649
1229.6139	"Q9DCJ9"	"N-acetylneuraminate lyase"	"Npl"	8811700	6620400	9937500	8456533.33333333	8811700	2.61430364064169	0.0145599117613931
1782.8022	"Q99PT1"	"Rho GDP-dissociation inhibitor 1"	"Arhgdia"	61086000	73090000	64763000	66313000	64763000	2.98211694461748	0.0119307523117458
1387.6884	"Q9DBB8"	"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"	"Dhdh"	5229000	3596100	9213900	6013000	5229000	1.53967401131506	0.140721169804152
986.47812	"Q6IRU2"	"Tropomyosin alpha-4 chain"	"Tpm4"	7919800	5972600	12020000	8637466.66666667	7919800	4.24744639084347	0.000277921616681353
1827.8931	"P04186"	"Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment"	"Cfb"	5653200	9978300	8246800	7959433.33333333	8246800	2.34187645138112	0.0266840052477685
760.37153	"P09103"	"Protein disulfide-isomerase"	"P4hb"	38574000	27421000	75707000	47234000	38574000	2.95414456375125	0.00702708837011021
775.38982	"Q00915"	"Retinol-binding protein 1"	"Rbp1"	12226000	7548200	22078000	13950733.3333333	12226000	2.50185497525643	0.0195649789879712
1413.7252	"P14733"	"Lamin-B1"	"Lmnb1"	25991000	21707000	48829000	32175666.6666667	25991000	1.98629010737857	0.0586852275154998
1028.5502	"Q9QXS1"	"Plectin"	"Plec"	6720700	2056900	0	2925866.66666667	2056900	1.60600157126288	0.130166705615655
1496.6817	"Q62261"	"Spectrin beta chain, non-erythrocytic 1"	"Sptbn1"	8226800	8276600	9755000	8752800	8276600	2.69221980054866	0.0106845457972242
1091.5611	"P62908"	"40S ribosomal protein S3"	"Rps3"	55707000	30450000	39514000	41890333.3333333	39514000	2.06955168688486	0.0697914706066433
1601.7838	"Q9D0R2"	"Threonine--tRNA ligase, cytoplasmic"	"Tars"	3613900	1758800	3308100	2893600	3308100	1.79215737936377	0.0900164729763604
1080.5815	"Q8VI64"	"Protein MGARP"	"Mgarp"	122920000	60830000	117730000	100493333.333333	117730000	3.14455292222538	0.00384726798952415
1107.5118	"O08638"	"Myosin-11"	"Myh11"	0	19583000	10233000	9938666.66666667	10233000	1.90797823294877	0.0826429227579339
2405.2876	"Q05793"	"Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide"	"Hspg2"	53287000	13951000	0	22412666.6666667	13951000	1.88508901700286	0.153696918648118
1372.7021	"Q91YI0"	"Argininosuccinate lyase"	"Asl"	19166000	10211000	13485000	14287333.3333333	13485000	1.55411168068782	0.136152763306687
1008.5393	"P59999"	"Actin-related protein 2/3 complex subunit 4"	"Arpc4"	14191000	12737000	15626000	14184666.6666667	14191000	2.21455171106008	0.0344810600781138
3029.5036	"Q01730"	"Ras suppressor protein 1"	"Rsu1"	0	9043300	12046000	7029766.66666667	9043300	1.59239651731153	0.145672568265981
1046.4993	"Q99PL5"	"Ribosome-binding protein 1"	"Rrbp1"	11995000	1849300	11488000	8444100	11488000	2.61910008758943	0.0233700822766814
2072.915	"Q64726"	"Zinc-alpha-2-glycoprotein"	"Azgp1"	0	5172400	5592300	3588233.33333333	5172400	2.38917555583166	0.0252314923903967
1669.8635	"Q99JB2"	"Stomatin-like protein 2, mitochondrial"	"Stoml2"	6694200	3840200	4547900	5027433.33333333	4547900	1.77716365457103	0.0925244096240587
962.4379	"A6H584"	"Collagen alpha-5(VI) chain"	"Col6a5"	2144900	11205000	18767000	10705633.3333333	11205000	3.12298042678196	0.00509481995703969
1342.6841	"P02468"	"Laminin subunit gamma-1"	"Lamc1"	15306000	7049600	19551000	13968866.6666667	15306000	3.14543835905629	0.00416213563375918
1324.6371	"P70302"	"Stromal interaction molecule 1"	"Stim1"	14843000	7900200	23525000	15422733.3333333	14843000	1.59400486639354	0.12578814013185
1399.5627	"Q8JZY2"	"COMM domain-containing protein 10"	"Commd10"	2877100	1288800	917750	1694550	1288800	2.00737546685454	0.0562727222268395
2024.0062	"Q99L43"	"Phosphatidate cytidylyltransferase 2"	"Cds2"	5038200	2251600	2870300	3386700	2870300	1.62817602608091	0.121933775575172
1894.8771	"P07724"	"Serum albumin"	"Alb"	815020000	1178900000	848500000	947473333.333333	848500000	2.13237395055878	0.0406153778955719
3305.5881	"P45952"	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial"	"Acadm"	136740000	27436000	27896000	64024000	27896000	1.66191866152857	0.132958496114124
1488.7725	"Q61838"	"Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit"	"A2m"	23385000	25514000	0	16299666.6666667	23385000	1.77742893760481	0.107873780416366
1040.4233	"Q62261"	"Spectrin beta chain, non-erythrocytic 1"	"Sptbn1"	7555900	6159700	10856000	8190533.33333333	7555900	2.32060368810113	0.0276280997560416
806.42865	"Q8K2B3"	"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"	"Sdha"	12170000	16501000	27456000	18709000	16501000	1.85221025761686	0.0879902459537327
1515.7398	"Q61210"	"Rho guanine nucleotide exchange factor 1"	"Arhgef1"	1737100	1744400	2848900	2110133.33333333	1744400	1.92524286750353	0.0641207912713915
1024.5593	"Q99K70"	"Ras-related GTP-binding protein C;Ras-related GTP-binding protein D"	"Rragc;Rragd"	7672700	5020900	6876600	6523400	6876600	3.0380641836577	0.00492700159968068
935.49727	"Q9EQ06"	"Estradiol 17-beta-dehydrogenase 11"	"Hsd17b11"	8571100	7465400	15320000	10452166.6666667	8571100	3.12410102138667	0.00364070553963292
1946.0071	"Q68FD5"	"Clathrin heavy chain 1"	"Cltc"	229380000	46493000	58192000	111355000	58192000	1.54455203954324	0.160440941169384
1194.6397	"P17047"	"Lysosome-associated membrane glycoprotein 2"	"Lamp2"	43743000	28208000	53344000	41765000	43743000	2.29348267092221	0.0289555360395934
1269.5877	"Q9R0P3"	"S-formylglutathione hydrolase"	"Esd"	32594000	28862000	45318000	35591333.3333333	32594000	1.83949548934586	0.0780964111877457
851.45414	"P26041"	"Moesin"	"Msn"	14878000	11119000	17561000	14519333.3333333	14878000	3.52857471444665	0.00110202528258898
905.46068	"Q9QUR6"	"Prolyl endopeptidase"	"Prep"	7628700	107530000	260250000	125136233.333333	107530000	3.85461267300954	0.00192652763174443
1896.9622	"P97372"	"Proteasome activator complex subunit 2"	"Psme2"	121190000	26568000	45452000	64403333.3333333	45452000	1.78660314136956	0.0989817718736332
1495.6977	"P26039"	"Talin-1"	"Tln1"	11942000	6459000	12225000	10208666.6666667	11942000	2.08803695730505	0.0491187171087015
762.42759	"P26039"	"Talin-1"	"Tln1"	7556900	9212600	9940200	8903233.33333333	9212600	2.18021451329823	0.0365253979840932
1883.9161	"Q9CQF9"	"Prenylcysteine oxidase"	"Pcyox1"	0	7422900	11730000	6384300	7422900	1.65604882155892	0.129313086081818
1131.5349	"Q08879"	"Fibulin-1"	"Fbln1"	0	2999100	4706900	2568666.66666667	2999100	1.59088181330668	0.128726215711383
2584.2809	"Q9D0K2"	"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial"	"Oxct1"	9165900	11268000	11660000	10697966.6666667	11268000	1.88143926991864	0.0684375126022521
1569.7279	"Q920A5"	"Retinoid-inducible serine carboxypeptidase"	"Scpep1"	30525000	16487000	43692000	30234666.6666667	30525000	2.18813167968553	0.0400486092030041
2172.2055	"Q04857"	"Collagen alpha-1(VI) chain"	"Col6a1"	7713000	19126000	7220500	11353166.6666667	7713000	3.23082400780164	0.0033120311310111
2548.3074	"P48678"	"Prelamin-A/C;Lamin-A/C"	"Lmna"	19521000	6581800	3443800	9848866.66666667	6581800	2.43188690362636	0.0235804691678103
781.36063	"P01027"	"Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2"	"C3"	13509000	36229000	45339000	31692333.3333333	36229000	2.63685251981046	0.012862913582159
2874.4089	"P16546"	"Spectrin alpha chain, non-erythrocytic 1"	"Sptan1"	0	27700000	25033000	17577666.6666667	25033000	1.75265075948331	0.133819318989974
1933.9381	"Q7TPR4"	"Alpha-actinin-1"	"Actn1"	15188000	35901000	5757500	18948833.3333333	15188000	1.67014625937111	0.112594859575616
881.53345	"Q8BTM8"	"Filamin-A"	"Flna"	11357000	19002000	14541000	14966666.6666667	14541000	2.90360619771274	0.00661951344672911
1008.5101	"P62880"	"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1;Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2"	"Gnb1;Gnb2"	25863000	3138800	10304000	13101933.3333333	10304000	1.56750243194305	0.163693101197316
2478.2312	"P51863"	"V-type proton ATPase subunit d 1"	"Atp6v0d1"	0	9032500	14006000	7679500	9032500	1.72345884183742	0.113145202200121
2644.3359	"Q9D964"	"Glycine amidinotransferase, mitochondrial"	"Gatm"	0	6366400	4658900	3675100	4658900	1.73260605191354	0.10000610235916
976.48388	"Q8BHN3"	"Neutral alpha-glucosidase AB"	"Ganab"	7198200	917210	8754600	5623336.66666667	7198200	2.60450846802715	0.0196808638365698
1115.5571	"O54724"	"Polymerase I and transcript release factor"	"Ptrf"	11679000	13143000	20819000	15213666.6666667	13143000	2.28569763852508	0.0306420338240443
3496.5585	"P07724"	"Serum albumin"	"Alb"	0	42315000	17832000	20049000	17832000	1.939762528198	0.0963465646774141
2584.2194	"O88342"	"WD repeat-containing protein 1"	"Wdr1"	41799000	47661000	45003000	44821000	45003000	1.91146871895215	0.0642756058250689
1512.7685	"Q7TMR0"	"Lysosomal Pro-X carboxypeptidase"	"Prcp"	10545000	0	10554000	7033000	10545000	1.64306113680593	0.154962401127288
4526.0357	"Q99KC8"	"von Willebrand factor A domain-containing protein 5A"	"Vwa5a"	8918200	5092300	0	4670166.66666667	5092300	1.52307532004654	0.154164771685888
1201.555	"Q8BTM8"	"Filamin-A"	"Flna"	8108000	24130000	21458000	17898666.6666667	21458000	2.84279125975022	0.00763086960881224
1507.7056	"Q8K0E8"	"Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain"	"Fgb"	39291000	17581000	42492000	33121333.3333333	39291000	2.52077905627404	0.0176974867506331
794.43989	"P14152"	"Malate dehydrogenase, cytoplasmic"	"Mdh1"	23720000	6250700	33127000	21032566.6666667	23720000	1.98905167464211	0.0727073139472001
754.43374	"Q91ZX7"	"Prolow-density lipoprotein receptor-related protein 1;Low-density lipoprotein receptor-related protein 1 85 kDa subunit;Low-density lipoprotein receptor-related protein 1 515 kDa subunit;Low-density lipoprotein receptor-related protein 1 intracellular domain"	"Lrp1"	0	1449100	7420300	2956466.66666667	1449100	2.07552944941842	0.0527237296938923
870.49232	"Q8CHT0"	"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"	"Aldh4a1"	0	59278000	11385000	23554333.3333333	11385000	2.3140195941589	0.0529924078774609
1410.6337	"Q9JHR7"	"Insulin-degrading enzyme"	"Ide"	6216300	3298000	4290500	4601600	4290500	1.96859105600526	0.062930635737938
931.5491	"Q9DCD0"	"6-phosphogluconate dehydrogenase, decarboxylating"	"Pgd"	30059000	16841000	37975000	28291666.6666667	30059000	1.67470344754763	0.10874711872513
2236.0874	"Q99NB9"	"Splicing factor 3B subunit 1"	"Sf3b1"	4253600	1343500	7875900	4491000	4253600	2.09203997323199	0.0539048083170665
1382.7306	"Q9CZ42"	"ATP-dependent (S)-NAD(P)H-hydrate dehydratase"	"Carkd"	16145000	5954400	22490000	14863133.3333333	16145000	1.58513638581389	0.131672717314108
1117.6132	"Q5FWK3"	"Rho GTPase-activating protein 1"	"Arhgap1"	11458000	15925000	9912700	12431900	11458000	1.77125805050923	0.0883976977044565
2075.1739	"Q64727"	"Vinculin"	"Vcl"	89769000	22440000	33635000	48614666.6666667	33635000	1.646465626756	0.127079495168271
2560.2632	"Q8VCM7"	"Fibrinogen gamma chain"	"Fgg"	8775100	4265700	2425000	5155266.66666667	4265700	1.50270699912693	0.157704920892345
832.42905	"Q91V92"	"ATP-citrate synthase"	"Acly"	0	5336200	16905000	7413733.33333333	5336200	1.63730570143707	0.149094393474255
1078.6023	"B2RXS4"	"Plexin-B2"	"Plxnb2"	2275400	1911300	3314300	2500333.33333333	2275400	1.86481658927379	0.0725079558385073
943.47633	"P46638"	"Ras-related protein Rab-11B;Ras-related protein Rab-25;Ras-related protein Rab-11A"	"Rab11b;Rab25;Rab11a"	28396000	21099000	55152000	34882333.3333333	28396000	2.83617756844974	0.0132649373059912
1305.6565	"P97447"	"Four and a half LIM domains protein 1"	"Fhl1"	12298000	22106000	13527000	15977000	13527000	2.18698953927318	0.0412486964818279
1106.5608	"P15864"	"Histone H1.2;Histone H1.4;Histone H1.3;Histone H1t"	"Hist1h1c;Hist1h1e;Hist1h1d;Hist1h1t"	368900000	214590000	401050000	328180000	368900000	1.57383284914939	0.134215587927999
732.45341	"Q9CZX8"	"40S ribosomal protein S19"	"Rps19"	16477000	1512300	5806700	7932000	5806700	1.58741867539455	0.168238180535008
1092.5451	"P43276"	"Histone H1.5"	"Hist1h1b"	21088000	12550000	23076000	18904666.6666667	21088000	2.89666390587904	0.00714632516756238
887.47125	"P42932"	"T-complex protein 1 subunit theta"	"Cct8"	42885000	0	30912000	24599000	30912000	1.9335493023011	0.157102843650518
1391.7119	"Q93092"	"Transaldolase"	"Taldo1"	59822000	47449000	67051000	58107333.3333333	59822000	1.71748313794316	0.0985237924566491
1926.9799	"Q9DBS5"	"Kinesin light chain 4"	"Klc4"	1697800	2776300	2357600	2277233.33333333	2357600	1.51149015527078	0.146147113493358
1131.5706	"P05064"	"Fructose-bisphosphate aldolase A"	"Aldoa"	91452000	45628000	136230000	91103333.3333333	91452000	1.57060524931026	0.133467393615271
2192.1477	"Q91W90"	"Thioredoxin domain-containing protein 5"	"Txndc5"	87723000	31011000	76988000	65240666.6666667	76988000	1.5918632069171	0.136227196596151
