"Mass"	"Uniprot"	"ProteinNames"	"Symbol"	"Intensity.AROM_Rep1"	"Intensity.AROM_Rep2"	"Intensity.AROM_Rep3"	"Mean_arom"	"Median_arom"	"logFC"	"Pvalue_limma"
878.44978	"Q9JK53"	"Prolargin"	"Prelp"	47271000	45215000	83498000	58661333.3333333	47271000	5.19669763680206	7.21457902472366e-06
1565.7032	"O55131"	"Septin-7"	"Sept7"	17759000	10962000	9052900	12591300	10962000	2.29793268239293	0.0383498575670862
1231.6085	"P16546"	"Spectrin alpha chain, non-erythrocytic 1;Spectrin alpha chain, erythrocytic 1"	"Sptan1;Spta1"	7792200	9095800	11501000	9463000	9095800	2.23667042517542	0.0362748327901531
1184.6149	"Q8BFR5"	"Elongation factor Tu, mitochondrial"	"Tufm"	22242000	15920000	33423000	23861666.6666667	22242000	3.35580005622484	0.00355044270546781
1624.8057	"Q6PGL7"	"WASH complex subunit FAM21"	"Fam21"	0	2160700	3023300	1728000	2160700	2.12272033711461	0.0424639058989527
1951.9011	"Q3THG9"	"Alanyl-tRNA editing protein Aarsd1"	"Aarsd1"	18737000	25800000	17431000	20656000	18737000	3.06456057333285	0.0045712541517277
939.47739	"P26039"	"Talin-1"	"Tln1"	10170000	4071900	28672000	14304633.3333333	10170000	3.41666612399823	0.00295364205819644
1234.5434	"Q61233"	"Plastin-2"	"Lcp1"	39292000	25488000	46874000	37218000	39292000	4.792066567188	2.55695067955504e-05
2081.0542	"Q61147"	"Ceruloplasmin"	"Cp"	15901000	24200000	31276000	23792333.3333333	24200000	4.20453389089078	0.000219400119150301
1107.5084	"P50518"	"V-type proton ATPase subunit E 1"	"Atp6v1e1"	30959000	11416000	16925000	19766666.6666667	16925000	3.7270582432815	0.00109152310042649
1229.6139	"Q9DCJ9"	"N-acetylneuraminate lyase"	"Npl"	8811700	6620400	9937500	8456533.33333333	8811700	2.61430364064169	0.0145599117613931
1782.8022	"Q99PT1"	"Rho GDP-dissociation inhibitor 1"	"Arhgdia"	61086000	73090000	64763000	66313000	64763000	2.98211694461748	0.0119307523117458
986.47812	"Q6IRU2"	"Tropomyosin alpha-4 chain"	"Tpm4"	7919800	5972600	12020000	8637466.66666667	7919800	4.24744639084347	0.000277921616681353
1827.8931	"P04186"	"Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment"	"Cfb"	5653200	9978300	8246800	7959433.33333333	8246800	2.34187645138112	0.0266840052477685
760.37153	"P09103"	"Protein disulfide-isomerase"	"P4hb"	38574000	27421000	75707000	47234000	38574000	2.95414456375125	0.00702708837011021
775.38982	"Q00915"	"Retinol-binding protein 1"	"Rbp1"	12226000	7548200	22078000	13950733.3333333	12226000	2.50185497525643	0.0195649789879712
1496.6817	"Q62261"	"Spectrin beta chain, non-erythrocytic 1"	"Sptbn1"	8226800	8276600	9755000	8752800	8276600	2.69221980054866	0.0106845457972242
1080.5815	"Q8VI64"	"Protein MGARP"	"Mgarp"	122920000	60830000	117730000	100493333.333333	117730000	3.14455292222538	0.00384726798952415
1008.5393	"P59999"	"Actin-related protein 2/3 complex subunit 4"	"Arpc4"	14191000	12737000	15626000	14184666.6666667	14191000	2.21455171106008	0.0344810600781138
1046.4993	"Q99PL5"	"Ribosome-binding protein 1"	"Rrbp1"	11995000	1849300	11488000	8444100	11488000	2.61910008758943	0.0233700822766814
2072.915	"Q64726"	"Zinc-alpha-2-glycoprotein"	"Azgp1"	0	5172400	5592300	3588233.33333333	5172400	2.38917555583166	0.0252314923903967
962.4379	"A6H584"	"Collagen alpha-5(VI) chain"	"Col6a5"	2144900	11205000	18767000	10705633.3333333	11205000	3.12298042678196	0.00509481995703969
1342.6841	"P02468"	"Laminin subunit gamma-1"	"Lamc1"	15306000	7049600	19551000	13968866.6666667	15306000	3.14543835905629	0.00416213563375918
1894.8771	"P07724"	"Serum albumin"	"Alb"	815020000	1178900000	848500000	947473333.333333	848500000	2.13237395055878	0.0406153778955719
1040.4233	"Q62261"	"Spectrin beta chain, non-erythrocytic 1"	"Sptbn1"	7555900	6159700	10856000	8190533.33333333	7555900	2.32060368810113	0.0276280997560416
1024.5593	"Q99K70"	"Ras-related GTP-binding protein C;Ras-related GTP-binding protein D"	"Rragc;Rragd"	7672700	5020900	6876600	6523400	6876600	3.0380641836577	0.00492700159968068
935.49727	"Q9EQ06"	"Estradiol 17-beta-dehydrogenase 11"	"Hsd17b11"	8571100	7465400	15320000	10452166.6666667	8571100	3.12410102138667	0.00364070553963292
1194.6397	"P17047"	"Lysosome-associated membrane glycoprotein 2"	"Lamp2"	43743000	28208000	53344000	41765000	43743000	2.29348267092221	0.0289555360395934
851.45414	"P26041"	"Moesin"	"Msn"	14878000	11119000	17561000	14519333.3333333	14878000	3.52857471444665	0.00110202528258898
905.46068	"Q9QUR6"	"Prolyl endopeptidase"	"Prep"	7628700	107530000	260250000	125136233.333333	107530000	3.85461267300954	0.00192652763174443
1495.6977	"P26039"	"Talin-1"	"Tln1"	11942000	6459000	12225000	10208666.6666667	11942000	2.08803695730505	0.0491187171087015
762.42759	"P26039"	"Talin-1"	"Tln1"	7556900	9212600	9940200	8903233.33333333	9212600	2.18021451329823	0.0365253979840932
1569.7279	"Q920A5"	"Retinoid-inducible serine carboxypeptidase"	"Scpep1"	30525000	16487000	43692000	30234666.6666667	30525000	2.18813167968553	0.0400486092030041
2172.2055	"Q04857"	"Collagen alpha-1(VI) chain"	"Col6a1"	7713000	19126000	7220500	11353166.6666667	7713000	3.23082400780164	0.0033120311310111
2548.3074	"P48678"	"Prelamin-A/C;Lamin-A/C"	"Lmna"	19521000	6581800	3443800	9848866.66666667	6581800	2.43188690362636	0.0235804691678103
781.36063	"P01027"	"Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2"	"C3"	13509000	36229000	45339000	31692333.3333333	36229000	2.63685251981046	0.012862913582159
881.53345	"Q8BTM8"	"Filamin-A"	"Flna"	11357000	19002000	14541000	14966666.6666667	14541000	2.90360619771274	0.00661951344672911
976.48388	"Q8BHN3"	"Neutral alpha-glucosidase AB"	"Ganab"	7198200	917210	8754600	5623336.66666667	7198200	2.60450846802715	0.0196808638365698
1115.5571	"O54724"	"Polymerase I and transcript release factor"	"Ptrf"	11679000	13143000	20819000	15213666.6666667	13143000	2.28569763852508	0.0306420338240443
1201.555	"Q8BTM8"	"Filamin-A"	"Flna"	8108000	24130000	21458000	17898666.6666667	21458000	2.84279125975022	0.00763086960881224
1507.7056	"Q8K0E8"	"Fibrinogen beta chain;Fibrinopeptide B;Fibrinogen beta chain"	"Fgb"	39291000	17581000	42492000	33121333.3333333	39291000	2.52077905627404	0.0176974867506331
943.47633	"P46638"	"Ras-related protein Rab-11B;Ras-related protein Rab-25;Ras-related protein Rab-11A"	"Rab11b;Rab25;Rab11a"	28396000	21099000	55152000	34882333.3333333	28396000	2.83617756844974	0.0132649373059912
1305.6565	"P97447"	"Four and a half LIM domains protein 1"	"Fhl1"	12298000	22106000	13527000	15977000	13527000	2.18698953927318	0.0412486964818279
1092.5451	"P43276"	"Histone H1.5"	"Hist1h1b"	21088000	12550000	23076000	18904666.6666667	21088000	2.89666390587904	0.00714632516756238
996.5314	"P26443"	"Glutamate dehydrogenase 1, mitochondrial"	"Glud1"	21029000	14609000	28494000	21377333.3333333	21029000	2.16689035363168	0.0392817741815621
863.47527	"P57780"	"Alpha-actinin-4;Alpha-actinin-3;Alpha-actinin-1"	"Actn4;Actn3;Actn1"	20147000	28657000	26271000	25025000	26271000	2.39483499984156	0.0218446652797187
857.44945	"Q8BWT1"	"3-ketoacyl-CoA thiolase, mitochondrial"	"Acaa2"	68457000	38397000	71583000	59479000	68457000	3.43857006476063	0.00343709973419403
2764.4535	"Q922R8"	"Protein disulfide-isomerase A6"	"Pdia6"	43488000	2570100	10456000	18838033.3333333	10456000	2.35672403563929	0.0375867205150717
814.45487	"Q63844"	"Mitogen-activated protein kinase 3"	"Mapk3"	10798000	8842000	33094000	17578000	10798000	2.0939787279066	0.0474762906009061
1254.6972	"O70423"	"Membrane primary amine oxidase"	"Aoc3"	5078200	10027000	9135500	8080233.33333333	9135500	2.53436914610647	0.0170511312854601
1043.511	"P26039"	"Talin-1"	"Tln1"	10905000	8238100	14027000	11056700	10905000	2.34653455082175	0.0290185441386453
1139.5935	"P26039"	"Talin-1"	"Tln1"	18791000	15001000	25321000	19704333.3333333	18791000	2.65784977814098	0.0125209391160191
863.43888	"O08529"	"Calpain-2 catalytic subunit"	"Capn2"	3501900	4077800	6554900	4711533.33333333	4077800	2.12601455005733	0.0467006881871236
1047.4907	"Q8VDD5"	"Myosin-9"	"Myh9"	16156000	8716300	23818000	16230100	16156000	4.13020611096286	0.000279081542898787
857.46068	"Q8BMK4"	"Cytoskeleton-associated protein 4"	"Ckap4"	8799600	982180	14301000	8027593.33333333	8799600	2.59638806871371	0.0196501786686538
1131.5408	"P30416"	"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed"	"Fkbp4"	35326000	22192000	29269000	28929000	29269000	2.47200064388968	0.0443565078649638
1088.4557	"Q61233"	"Plastin-2;Plastin-3"	"Lcp1;Pls3"	36774000	12958000	26663000	25465000	26663000	4.27600706124583	0.000155625825999067
1208.5417	"O08638"	"Myosin-11"	"Myh11"	12498000	9729100	18228000	13485033.3333333	12498000	2.38230724241359	0.0251023674541226
2168.0572	"Q04997"	"Inhibin alpha chain"	"Inha"	11130000	8098300	20401000	13209766.6666667	11130000	2.21473345515063	0.0365037129915706
1874.9163	"P29391"	"Ferritin light chain 1;Ferritin light chain 2"	"Ftl1;Ftl2"	498390000	31713000	140640000	223581000	140640000	3.20749368001394	0.00569796701897811
977.5182	"P04186"	"Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment"	"Cfb"	13486000	11441000	12251000	12392666.6666667	12251000	2.43850365796469	0.0195443176461518
987.56006	"P26039"	"Talin-1"	"Tln1"	17983000	12044000	19438000	16488333.3333333	17983000	2.63369791300763	0.0127641835179799
1131.64	"P16675"	"Lysosomal protective protein;Lysosomal protective protein 32 kDa chain;Lysosomal protective protein 20 kDa chain"	"Ctsa"	73165000	33064000	50543000	52257333.3333333	50543000	3.7379078961401	0.00068140863704696
969.49535	"Q9WTL7"	"Acyl-protein thioesterase 2"	"Lypla2"	3824600	1456300	3990400	3090433.33333333	3824600	2.20228711139812	0.0371762238851964
2153.0964	"P16546"	"Spectrin alpha chain, non-erythrocytic 1"	"Sptan1"	34923000	18536000	28675000	27378000	28675000	3.06446056652694	0.00673181869394593
1321.7394	"Q61838"	"Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit"	"A2m"	1587700	1057400	0	881700	1057400	2.16428460268758	0.0385776337859999
815.43888	"P26041"	"Moesin"	"Msn"	0	14708000	16990000	10566000	14708000	2.74754916839324	0.0151006709665017
1174.554	"P48036"	"Annexin A5"	"Anxa5"	8410600	7485600	5687500	7194566.66666667	7485600	2.58228810655845	0.0143310545760644
928.53418	"O35639"	"Annexin A3"	"Anxa3"	0	15124000	25394000	13506000	15124000	2.44168992007191	0.0336582505189981
865.50215	"P03987"	"Ig gamma-3 chain C region"	""	118900000	77612000	116560000	104357333.333333	116560000	4.04088405655332	0.000246623354907358
1557.9243	"Q3TEA8"	"Heterochromatin protein 1-binding protein 3"	"Hp1bp3"	0	2723600	6564400	3096000	2723600	2.2180807724638	0.0421960511857428
1150.5982	"P11438"	"Lysosome-associated membrane glycoprotein 1"	"Lamp1"	164960000	89028000	79045000	111011000	89028000	3.04983341977525	0.00448695350572629
1040.6342	"Q9JKF1"	"Ras GTPase-activating-like protein IQGAP1"	"Iqgap1"	4251700	1889500	8749500	4963566.66666667	4251700	2.72559873402305	0.0128319910316473
1212.635	"P26039"	"Talin-1"	"Tln1"	11228000	9817600	20441000	13828866.6666667	11228000	2.38788043009303	0.0250667425261137
1197.6354	"O35955"	"Proteasome subunit beta type-10"	"Psmb10"	3768700	10180000	6046700	6665133.33333333	6046700	2.98210541685411	0.00523434362459706
1128.6139	"Q9EQ06"	"Estradiol 17-beta-dehydrogenase 11"	"Hsd17b11"	18070000	21555000	35223000	24949333.3333333	21555000	3.5888373404212	0.001011322909712
808.40792	"Q6P069"	"Sorcin"	"Sri"	7776800	8241400	10293000	8770400	8241400	2.18061638123898	0.035983723391195
1622.9066	"P10107"	"Annexin A1"	"Anxa1"	203370000	26838000	32553000	87587000	32553000	4.14278778572999	0.000318716730869665
1230.6721	"P06728"	"Apolipoprotein A-IV"	"Apoa4"	40945000	80929000	90136000	70670000	80929000	3.757421424588	0.00124972749321721
2475.1878	"A6H584"	"Collagen alpha-5(VI) chain"	"Col6a5"	6377700	49636000	11833000	22615566.6666667	11833000	2.7539791237384	0.0133362377984372
907.43995	"P10107"	"Annexin A1"	"Anxa1"	21761000	14825000	0	12195333.3333333	14825000	2.45619648889974	0.0290678212124536
1540.7086	"Q61147"	"Ceruloplasmin"	"Cp"	25715000	60358000	32601000	39558000	32601000	2.95110677068009	0.00557429151712387
936.41572	"P46656"	"Adrenodoxin, mitochondrial"	"Fdx1"	85107000	39126000	144200000	89477666.6666667	85107000	3.2421293177708	0.00293712751813168
1073.5539	"Q99PL5"	"Ribosome-binding protein 1"	"Rrbp1"	0	6943600	12951000	6631533.33333333	6943600	2.62365937020607	0.0188792044501328
1007.423	"P14824"	"Annexin A6"	"Anxa6"	7470200	3579200	19253000	10100800	7470200	3.38153854035659	0.00250897457781315
1615.7188	"Q9EQP2"	"EH domain-containing protein 4"	"Ehd4"	14614000	5917100	10108000	10213033.3333333	10108000	3.26107640907013	0.00262517860219979
1230.5728	"Q99K70"	"Ras-related GTP-binding protein C;Ras-related GTP-binding protein D"	"Rragc;Rragd"	8664000	5696300	7970400	7443566.66666667	7970400	2.97302518457514	0.00551189810646948
1476.6733	"Q99KC8"	"von Willebrand factor A domain-containing protein 5A"	"Vwa5a"	6506700	7342000	9424000	7757566.66666667	7342000	2.09497593433821	0.0442868590562507
1183.5656	"P23492"	"Purine nucleoside phosphorylase"	"Pnp"	4508600	7914600	17312000	9911733.33333333	7914600	2.43004382262979	0.0220668289662579
1995.9724	"Q9Z1G4"	"V-type proton ATPase 116 kDa subunit a isoform 1"	"Atp6v0a1"	5596100	4240400	6249200	5361900	5596100	2.28613223906216	0.0303814715549611
1875.9764	"Q99KC8"	"von Willebrand factor A domain-containing protein 5A"	"Vwa5a"	9209100	9322000	15235000	11255366.6666667	9322000	3.11371126031725	0.00380333220289088
1827.8608	"P29699"	"Alpha-2-HS-glycoprotein"	"Ahsg"	11108000	11595000	23089000	15264000	11595000	2.67989647179689	0.0159924027093896
1433.7151	"Q8BTM8"	"Filamin-A"	"Flna"	17851000	33188000	33712000	28250333.3333333	33188000	3.48225027148173	0.00151362538360587
1868.9592	"Q8VDD5"	"Myosin-9"	"Myh9"	23983000	20905000	36318000	27068666.6666667	23983000	3.03744170703579	0.00458222174570527
1001.4679	"O55131"	"Septin-7"	"Sept7"	9465200	6439700	10512000	8805633.33333333	9465200	2.16825065868862	0.0479367601101906
1181.5869	"P26041"	"Moesin;Radixin;Ezrin"	"Msn;Rdx;Ezr"	29149000	23486000	21369000	24668000	23486000	2.51662961201278	0.0183640377863125
998.52843	"Q8VCT4"	"Carboxylesterase 1C;Carboxylesterase 1D"	"Ces1c;Ces1d"	110960000	148770000	164360000	141363333.333333	148770000	2.08669233361399	0.0446000855867692
1786.9618	"Q61838"	"Alpha-2-macroglobulin;Alpha-2-macroglobulin 165 kDa subunit;Alpha-2-macroglobulin 35 kDa subunit"	"A2m"	58317000	52532000	59801000	56883333.3333333	58317000	2.89524430051664	0.00680231220320189
832.38277	"P63038"	"60 kDa heat shock protein, mitochondrial"	"Hspd1"	33452000	10326000	42400000	28726000	33452000	2.45025924750833	0.0253667763059556
2072.9983	"P26039"	"Talin-1"	"Tln1"	22150000	12965000	26658000	20591000	22150000	2.70299879884591	0.0114915021131911
754.45889	"Q99LX0"	"Protein deglycase DJ-1"	"Park7"	57001000	41092000	60155000	52749333.3333333	57001000	2.54763745266322	0.030675712996426
1759.8529	"Q924Z4"	"Ceramide synthase 2"	"Cers2"	2424000	5174800	9132900	5577233.33333333	5174800	2.46896957590652	0.0211830710978086
1991.1244	"P05201"	"Aspartate aminotransferase, cytoplasmic"	"Got1"	26630000	9568300	22442000	19546766.6666667	22442000	2.70519430610477	0.0114237935382619
1777.9727	"P01867"	"Ig gamma-2B chain C region"	"Igh-3"	63682000	67729000	44320000	58577000	63682000	4.9908094761968	1.23947109451238e-05
1209.6758	"P01868"	"Ig gamma-1 chain C region secreted form;Ig gamma-1 chain C region, membrane-bound form"	"Ighg1"	56669000	73538000	90516000	73574333.3333333	73538000	4.44401712748313	0.000113135577936581
1826.9124	"P01863"	"Ig gamma-2A chain C region, A allele;Ig gamma-2A chain C region, membrane-bound form"	"Ighg;Igh-1a"	93739000	52400000	32876000	59671666.6666667	52400000	4.22846764707587	0.000167658417557036
1259.7125	"O35350"	"Calpain-1 catalytic subunit"	"Capn1"	0	3228900	4074700	2434533.33333333	3228900	2.60998120644157	0.0168506102814675
1689.821	"Q99LC5"	"Electron transfer flavoprotein subunit alpha, mitochondrial"	"Etfa"	20646000	18037000	22713000	20465333.3333333	20646000	2.69384261830572	0.0158063874431331
1806.7672	"P01899"	"H-2 class I histocompatibility antigen, D-B alpha chain;H-2 class I histocompatibility antigen, Q10 alpha chain"	"H2-D1;H2-Q10"	17255000	11476000	4201600	10977533.3333333	11476000	2.98662471754249	0.006596752433761
763.3613	"P08226"	"Apolipoprotein E"	"Apoe"	9090900	3961600	24792000	12614833.3333333	9090900	3.78522537249819	0.000710926290851654
1012.4437	"P51150"	"Ras-related protein Rab-7a"	"Rab7a"	19116000	9451900	16761000	15109633.3333333	16761000	2.5015388431824	0.0184746681906531
1152.5234	"Q7TNG5"	"Echinoderm microtubule-associated protein-like 2"	"Eml2"	3763400	3272200	4691400	3909000	3763400	2.19885406387601	0.0346252908493142
1373.6212	"P48678"	"Prelamin-A/C;Lamin-A/C"	"Lmna"	12740000	9925800	14194000	12286600	12740000	2.29939881579779	0.029446538962551
1071.556	"Q9EQK5"	"Major vault protein"	"Mvp"	7139500	6220100	11940000	8433200	7139500	4.01212540724117	0.000489286100257342
857.49707	"P26039"	"Talin-1"	"Tln1"	8479100	9660100	16863000	11667400	9660100	2.56348116326394	0.0153813432888725
993.51311	"P31001"	"Desmin"	"Des"	8166900	11021000	19756000	12981300	11021000	3.02606103925788	0.0050196843569539
1454.7551	"P26039"	"Talin-1"	"Tln1"	7802000	7450700	12263000	9171900	7802000	2.1237388533251	0.044303964869927
1167.6248	"P14733"	"Lamin-B1"	"Lmnb1"	6395300	3958800	15781000	8711700	6395300	2.14238296126259	0.0440694072245899
776.36645	"Q64727"	"Vinculin"	"Vcl"	20775000	18982000	25014000	21590333.3333333	20775000	2.87977302417547	0.0139331728586654
1348.6623	"Q921I1"	"Serotransferrin"	"Tf"	209610000	385190000	496530000	363776666.666667	385190000	2.63600259525749	0.0123055564393278
964.44028	"P57780"	"Alpha-actinin-4"	"Actn4"	5653100	0	7701700	4451600	5653100	2.27140612035274	0.040026331591808
1364.6069	"P26039"	"Talin-1"	"Tln1"	4715400	3988600	21106000	9936666.66666667	4715400	3.21747423668618	0.00327788711752315
2341.2165	"Q8BTM8"	"Filamin-A"	"Flna"	7388400	23812000	21778000	17659466.6666667	21778000	3.03825251999987	0.0047218244069526
1289.6034	"Q9R0P5"	"Destrin"	"Dstn"	9093700	6052900	6152000	7099533.33333333	6152000	2.29080719468237	0.0327917977870365
1213.5728	"P57780"	"Alpha-actinin-4;Alpha-actinin-1"	"Actn4;Actn1"	26944000	42108000	48319000	39123666.6666667	42108000	2.7762746377096	0.00865572991872423
884.48684	"O35639"	"Annexin A3"	"Anxa3"	5185000	2433600	3584300	3734300	3584300	3.15790361642726	0.00322588551658955
1350.7256	"P10493"	"Nidogen-1"	"Nid1"	18973000	8466700	26701000	18046900	18973000	3.30982175294717	0.00328604700282317
1303.662	"Q91VI7"	"Ribonuclease inhibitor"	"Rnh1"	26939000	21437000	43951000	30775666.6666667	26939000	2.36755187543176	0.0250948681489777
2454.1816	"P01645"	"Ig kappa chain V-V region HP 93G7;Ig kappa chain V-V region HP R16.7;Ig kappa chain V-V region HP 123E6"	""	23581000	20214000	19439000	21078000	20214000	4.11253106299696	0.000240283207393618
1627.7802	"Q9WV32"	"Actin-related protein 2/3 complex subunit 1B"	"Arpc1b"	16459000	41751000	58176000	38795333.3333333	41751000	2.62405528403353	0.0138293625250032
2133.0194	"P26039"	"Talin-1"	"Tln1"	6173700	1868300	11712000	6584666.66666667	6173700	2.15177172730675	0.0468896507314324
759.41267	"P07724"	"Serum albumin"	"Alb"	650950000	1175800000	2487500000	1438083333.33333	1175800000	2.29411880544765	0.0293594945320817
921.4556	"P54071"	"Isocitrate dehydrogenase [NADP], mitochondrial"	"Idh2"	8944600	8173200	13696000	10271266.6666667	8944600	3.54820222803185	0.00109915180351801
1425.6922	"Q3TEA8"	"Heterochromatin protein 1-binding protein 3"	"Hp1bp3"	8498000	6311900	13228000	9345966.66666667	8498000	2.55388521823926	0.0155600529089375
1532.7206	"O54724"	"Polymerase I and transcript release factor"	"Ptrf"	10334000	12771000	9036000	10713666.6666667	10334000	2.13856667309243	0.0419120081455768
2027.9411	"P70333"	"Heterogeneous nuclear ribonucleoprotein H2"	"Hnrnph2"	19395000	8799500	15983000	14725833.3333333	15983000	2.95480466203146	0.00878067891074805
1211.6762	"P43276"	"Histone H1.5"	"Hist1h1b"	23010000	8956200	14020000	15328733.3333333	14020000	3.25089674860837	0.00309379931582091
1035.5601	"P51150"	"Ras-related protein Rab-7a"	"Rab7a"	49069000	34333000	46969000	43457000	46969000	2.11009994201505	0.0429786902127644
829.41815	"Q7TPR4"	"Alpha-actinin-1"	"Actn1"	7639200	8136000	12179000	9318066.66666667	8136000	3.21949581196921	0.00315513213128524
894.4447	"Q9DCJ9"	"N-acetylneuraminate lyase"	"Npl"	23828000	5557600	21698000	17027866.6666667	21698000	2.34757563143755	0.0326528362533249
2089.9779	"Q3THE2"	"Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9"	"Myl12b;Myl9"	80433000	55650000	63214000	66432333.3333333	63214000	2.59616172569221	0.0136395877070362
